no	sName	lName
0	BLK 	 BLACK  
1	PPT 	PowerPt 
2	Stnd	Standing
3	Scor	Scoring 
4	gTop	GoProTop
5	Cam1	Cam1Long
6	Robo	Cam2Robo
7	gRed	GoProRed
8	gBlu	GoProBlu
9	PBP 	Playback
10	FS2b	FS2-In2 
11	IN11	INPUT11 
12	IN12	INPUT12 
29	LOGO	LOGO    
30	STL2	STILL2  
31	STK1	STLKEY1 
32	STK2	STLKEY2 
37	BARS	COLORBAR
38	MAT1	MATT1   
39	MAT2	MATT2   
40	CKFL	CK FILL 
41	CKKY	CK KEY  
42	EFF1	SUB EFF1
43	EFF2	SUB EFF2
46	PGM 	PROGRAM 
47	PVW 	PREVIEW 
48	CLN 	 CLEAN  
49	MEKY	KEY OUT 
64	RX01	RT XPT01
65	RX02	RT XPT02
66	RX03	RT XPT03
67	RX04	RT XPT04
68	RX05	RT XPT05
69	RX06	RT XPT06
70	RX07	RT XPT07
71	RX08	RT XPT08
72	RX09	RT XPT09
73	RX10	RT XPT10
74	RX11	RT XPT11
75	RX12	RT XPT12
76	RX13	RT XPT13
77	RX14	RT XPT14
78	RX15	RT XPT15
79	RX16	RT XPT16
80	RX17	RT XPT17
81	RX18	RT XPT18
82	RX19	RT XPT19
83	RX20	RT XPT20
84	RX21	RT XPT21
85	RX22	RT XPT22
86	RX23	RT XPT23
87	RX24	RT XPT24
88	RX25	RT XPT25
89	RX26	RT XPT26
90	RX27	RT XPT27
91	RX28	RT XPT28
92	RX29	RT XPT29
93	RX30	RT XPT30
94	RX31	RT XPT31
95	RX32	RT XPT32
96	RX33	RT XPT33
97	RX34	RT XPT34
98	RX35	RT XPT35
99	RX36	RT XPT36
100	RX37	RT XPT37
101	RX38	RT XPT38
102	RX39	RT XPT39
103	RX40	RT XPT40
104	RX41	RT XPT41
105	RX42	RT XPT42
106	RX43	RT XPT43
107	RX44	RT XPT44
108	RX45	RT XPT45
109	RX46	RT XPT46
110	RX47	RT XPT47
111	RX48	RT XPT48
112	RX49	RT XPT49
113	RX50	RT XPT50
114	RX51	RT XPT51
115	RX52	RT XPT52
116	RX53	RT XPT53
117	RX54	RT XPT54
118	RX55	RT XPT55
119	RX56	RT XPT56
120	RX57	RT XPT57
121	RX58	RT XPT58
122	RX59	RT XPT59
123	RX60	RT XPT60
124	RX61	RT XPT61
125	RX62	RT XPT62
126	RX63	RT XPT63
127	RX64	RT XPT64
128	IS01	IS XPT01
129	IS02	IS XPT02
130	IS03	IS XPT03
131	IS04	IS XPT04
132	IS05	IS XPT05
133	IS06	IS XPT06
134	IS07	IS XPT07
135	IS08	IS XPT08
136	IS09	IS XPT09
137	IS10	IS XPT10
138	IS11	IS XPT11
139	IS12	IS XPT12
180	VR01	VLINE01 
181	VR02	VLINE02 
182	VR03	VLINE03 
183	VR04	VLINE04 
184	VR05	VLINE05 
185	VR06	VLINE06 
186	VR07	VLINE07 
187	VR08	VLINE08 
188	VR09	VLINE09 
189	VR10	VLINE10 
190	VR11	VLINE11 
191	VR12	VLINE12 
192	VR13	VLINE13 
193	VR14	VLINE14 
194	VR15	VLINE15 
195	VR16	VLINE16 
240	1Web	--------
241	2Web	--------
242	3Pit	--------
243	4PJ 	--------
244	5DA 	--------
245	6Rob	--------
246	7Lgt	--------
247	8Eng	--------